|Date|Address|Species|Block|Street|Trap|AddressNumberAndStreet|Latitude|Longitude|AddressAccuracy|NumMosquitos|WnvPresent
2360|2007-08-21|4000 South Dearborn Street, Chicago, IL 60609, USA|CULEX PIPIENS/RESTUANS|40| S DEARBORN ST|T081|4000  S DEARBORN ST, Chicago, IL|41.821582|-87.62779599999999|9|16|1
2362|2007-08-21|5000 South Union Avenue, Chicago, IL 60609, USA|CULEX PIPIENS/RESTUANS|50| S UNION AVE|T082|5000  S UNION AVE, Chicago, IL|41.803422999999995|-87.642984|8|8|1
2366|2007-08-21|5200 South Kolmar Avenue, Chicago, IL 60632, USA|CULEX PIPIENS/RESTUANS|52| S KOLMAR|T114|5200  S KOLMAR, Chicago, IL|41.798697|-87.736812|8|8|1
2367|2007-08-21|5200 South Kolmar Avenue, Chicago, IL 60632, USA|CULEX RESTUANS|52| S KOLMAR|T114|5200  S KOLMAR, Chicago, IL|41.798697|-87.736812|8|1|1
2384|2007-08-22|1700 West 95th Street, Chicago, IL 60643, USA|CULEX PIPIENS|17| W 95TH ST|T094|1700  W 95TH ST, Chicago, IL|41.720848|-87.666014|9|28|1
2386|2007-08-22|2200 West 89th Street, Chicago, IL 60643, USA|CULEX PIPIENS/RESTUANS|22| W 89TH ST|T096|2200  W 89TH ST, Chicago, IL|41.731922|-87.677512|8|43|1
2387|2007-08-22|2200 West 89th Street, Chicago, IL 60643, USA|CULEX PIPIENS|22| W 89TH ST|T096|2200  W 89TH ST, Chicago, IL|41.731922|-87.677512|8|35|1
2388|2007-08-22|2200 West 89th Street, Chicago, IL 60643, USA|CULEX PIPIENS|22| W 89TH ST|T096|2200  W 89TH ST, Chicago, IL|41.731922|-87.677512|8|50|1
2389|2007-08-22|8900 South Carpenter Street, Chicago, IL 60620, USA|CULEX PIPIENS/RESTUANS|89| S CARPENTER ST|T159|8900  S CARPENTER ST, Chicago, IL|41.732984|-87.649642|8|24|1
2390|2007-08-22|8900 South Carpenter Street, Chicago, IL 60620, USA|CULEX PIPIENS|89| S CARPENTER ST|T159|8900  S CARPENTER ST, Chicago, IL|41.732984|-87.649642|8|40|1
2394|2007-08-22|4200 West 127th Street, Alsip, IL 60803, USA|CULEX PIPIENS/RESTUANS|42| W 127TH PL|T135|4200  W 127TH PL, Chicago, IL|41.662014|-87.72460799999999|8|50|1
2400|2007-08-22|4200 West 127th Street, Alsip, IL 60803, USA|CULEX PIPIENS|42| W 127TH PL|T135|4200  W 127TH PL, Chicago, IL|41.662014|-87.72460799999999|8|50|1
2407|2007-08-22|1100 North Artesian Avenue, Chicago, IL 60622, USA|CULEX PIPIENS/RESTUANS|11| S ARTESIAN AVE|T160|1100  S ARTESIAN AVE, Chicago, IL|41.903002|-87.68826700000001|8|9|1
2414|2007-08-22|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2420|2007-08-22|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2422|2007-08-22|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2435|2007-08-22|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2437|2007-08-22|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|4|1
2438|2007-08-22|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2442|2007-08-22|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2446|2007-08-22|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2448|2007-08-22|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2458|2007-08-22|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2459|2007-08-22|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2460|2007-08-22|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2462|2007-08-22|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2463|2007-08-22|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2474|2007-08-22|South Torrence Avenue, Chicago, IL, USA|CULEX PIPIENS|13| S TORRENCE AVE|T200|1300  S TORRENCE AVE, Chicago, IL|41.678618|-87.559308|5|47|1
2478|2007-08-22|South Brandon Avenue, Chicago, IL 60617, USA|CULEX PIPIENS|13| S BRANDON|T209|1300  S BRANDON, Chicago, IL|41.740641|-87.546587|5|25|1
2485|2007-08-22|3800 East 115th Street, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|38| E 115TH ST|T215|3800  E 115TH ST, Chicago, IL|41.686398|-87.531635|8|22|1
2488|2007-08-22|East 91st Street, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|81| E 91ST ST|T107|8100  E 91ST ST, Chicago, IL|41.729669|-87.582699|5|3|1
2490|2007-08-22|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|50|1
2491|2007-08-22|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|50|1
2493|2007-08-22|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|50|1
2496|2007-08-22|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|50|1
2498|2007-08-22|East 138th Street, Riverdale, IL 60827, USA|CULEX PIPIENS/RESTUANS|82| E 138TH ST|T097|8200  E 138TH ST, Chicago, IL|41.644612|-87.60449799999999|5|10|1
2519|2007-08-22|4000 East 130th Street, Chicago, IL 60633, USA|CULEX PIPIENS|40| E 130TH ST|T221|4000  E 130TH ST, Chicago, IL|41.659112|-87.53869300000001|8|25|1
2520|2007-08-24|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|27|1
2539|2007-08-24|2200 West 113th Street, Chicago, IL 60643, USA|CULEX PIPIENS/RESTUANS|22| W 113TH ST|T086|2200  W 113TH ST, Chicago, IL|41.688324|-87.676709|8|49|1
2540|2007-08-24|2200 West 113th Street, Chicago, IL 60643, USA|CULEX PIPIENS|22| W 113TH ST|T086|2200  W 113TH ST, Chicago, IL|41.688324|-87.676709|8|2|1
2541|2007-08-24|2200 West 113th Street, Chicago, IL 60643, USA|CULEX PIPIENS|22| W 113TH ST|T086|2200  W 113TH ST, Chicago, IL|41.688324|-87.676709|8|36|1
2557|2007-08-24|9100 West Higgins Avenue, Chicago, IL 60656, USA|CULEX PIPIENS|91| W HIGGINS AVE|T009|9100  W HIGGINS AVE, Chicago, IL|41.981964000000005|-87.812827|8|28|1
2559|2007-08-24|3600 North Pittsburgh Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|36| N PITTSBURGH AVE|T011|3600  N PITTSBURGH AVE, Chicago, IL|41.944869|-87.832763|8|9|1
2560|2007-08-24|7200 North Oketo Avenue, Chicago, IL 60631, USA|CULEX PIPIENS/RESTUANS|72| N OKETO AVE|T016|7200  N OKETO AVE, Chicago, IL|42.011601|-87.81150600000001|8|9|1
2576|2007-08-24|4200 West 127th Street, Alsip, IL 60803, USA|CULEX PIPIENS/RESTUANS|42| W 127TH PL|T135|4200  W 127TH PL, Chicago, IL|41.662014|-87.72460799999999|8|50|1
2580|2007-08-24|4200 West 127th Street, Alsip, IL 60803, USA|CULEX PIPIENS|42| W 127TH PL|T135|4200  W 127TH PL, Chicago, IL|41.662014|-87.72460799999999|8|50|1
2594|2007-08-24|2500 South Millard Avenue, Chicago, IL 60623, USA|CULEX PIPIENS|25| S MILLARD AVE|T152|2500  S MILLARD AVE, Chicago, IL|41.846075|-87.716277|9|5|1
2595|2007-08-24|2100 North Lawler Avenue, Chicago, IL 60639, USA|CULEX PIPIENS/RESTUANS|21| N LAWLER AVE|T154|2100  N LAWLER AVE, Chicago, IL|41.918704999999996|-87.752329|8|12|1
2607|2007-08-24|4600 Milwaukee Avenue, Chicago, IL 60630, USA|CULEX PIPIENS|46| N MILWAUKEE AVE|T003|4600  N MILWAUKEE AVE, Chicago, IL|41.964242|-87.757639|8|19|1
2613|2007-08-24|6100 North Lemont Avenue, Chicago, IL 60646, USA|CULEX PIPIENS|61| N LEMONT AVE|T012|6100  N LEMONT AVE, Chicago, IL|41.991429|-87.747113|8|5|1
2633|2007-08-24|6400 West Strong Street, Chicago, IL, USA|CULEX PIPIENS|64| W STRONG ST|T014|6400  W STRONG ST, Chicago, IL|41.970248|-87.787992|8|18|1
2640|2007-08-24|3300 North Rutherford Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|33| N RUTHERFORD AVE|T144|3300  N RUTHERFORD AVE, Chicago, IL|41.94016|-87.794896|9|15|1
2642|2007-08-24|1100 North Artesian Avenue, Chicago, IL 60622, USA|CULEX PIPIENS|11| S ARTESIAN AVE|T160|1100  S ARTESIAN AVE, Chicago, IL|41.903002|-87.68826700000001|8|3|1
2643|2007-08-24|6000 West Roscoe Street, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|60| W ROSCOE ST|T005|6000  W ROSCOE ST, Chicago, IL|41.942114000000004|-87.776385|8|5|1
2644|2007-08-24|6000 West Roscoe Street, Chicago, IL 60634, USA|CULEX PIPIENS|60| W ROSCOE ST|T005|6000  W ROSCOE ST, Chicago, IL|41.942114000000004|-87.776385|8|12|1
2645|2007-08-24|3300 West 104th Street, Chicago, IL 60655, USA|CULEX PIPIENS/RESTUANS|33| W 104TH ST|T095|3300  W 104TH ST, Chicago, IL|41.704336|-87.70373599999999|8|6|1
2667|2007-08-24|1000 East 67th Street, Chicago, IL 60637, USA|CULEX PIPIENS|10| E 67TH ST|T073|1000  E 67TH ST, Chicago, IL|41.773215|-87.60088|8|10|1
2676|2007-08-24|7700 South Eberhart Avenue, Chicago, IL 60619, USA|CULEX PIPIENS/RESTUANS|77| S EBERHART AVE|T080|7700  S EBERHART AVE, Chicago, IL|41.754676|-87.612922|9|20|1
2680|2007-08-24|5000 South Union Avenue, Chicago, IL 60609, USA|CULEX PIPIENS/RESTUANS|50| S UNION AVE|T082|5000  S UNION AVE, Chicago, IL|41.803422999999995|-87.642984|8|16|1
2681|2007-08-24|5000 South Union Avenue, Chicago, IL 60609, USA|CULEX PIPIENS|50| S UNION AVE|T082|5000  S UNION AVE, Chicago, IL|41.803422999999995|-87.642984|8|17|1
2683|2007-08-24|7900 South South Chicago Avenue, Chicago, IL 60617, USA|CULEX PIPIENS|79| S CHICAGO AVE|T083|7900  S CHICAGO AVE, Chicago, IL|41.754292|-87.590773|9|14|1
2688|2007-08-24|6300 West 64th Street, Chicago, IL 60638, USA|CULEX PIPIENS|63| W 64TH ST|T155|6300  W 64TH ST, Chicago, IL|41.776156|-87.778927|9|5|1
2710|2007-08-28|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2711|2007-08-28|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2715|2007-08-28|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2751|2007-08-28|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2762|2007-08-28|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
2784|2007-08-28|3700 118th Street, Chicago, IL 60617, USA|CULEX PIPIENS|37| E 118TH ST|T212|3700  E 118TH ST, Chicago, IL|41.680946|-87.535198|8|26|1
2793|2007-08-28|East 91st Street, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|81| E 91ST ST|T107|8100  E 91ST ST, Chicago, IL|41.729669|-87.582699|5|4|1
2800|2007-08-28|2400 East 105th Street, Chicago, IL 60617, USA|CULEX PIPIENS|24| E 105TH ST|T128|2400  E 105TH ST, Chicago, IL|41.704572|-87.56566600000001|8|49|1
2821|2007-08-28|South Avenue L, Chicago, IL 60617, USA|CULEX PIPIENS|11| S AVENUE L|T103|1100  S AVENUE L, Chicago, IL|41.702723999999996|-87.536497|5|50|1
2826|2007-09-04|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|10|1
2827|2007-09-04|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|13|1
2854|2007-09-04|5800 North Western Avenue, Chicago, IL 60659, USA|CULEX PIPIENS/RESTUANS|58| N WESTERN AVE|T028|5800  N WESTERN AVE, Chicago, IL|41.986921|-87.689778|9|1|1
2855|2007-09-04|5800 North Western Avenue, Chicago, IL 60659, USA|CULEX PIPIENS|58| N WESTERN AVE|T028|5800  N WESTERN AVE, Chicago, IL|41.986921|-87.689778|9|5|1
2865|2007-09-04|4500 North Campbell Avenue, Chicago, IL 60625, USA|CULEX PIPIENS|45| N CAMPBELL AVE|T220|4500  N CAMPBELL AVE, Chicago, IL|41.963976|-87.69181|9|1|1
2873|2007-09-04|6800 West Belden Avenue, Chicago, IL 60707, USA|CULEX PIPIENS/RESTUANS|68| W BELDEN AVE|T037|6800  W BELDEN AVE, Chicago, IL|41.921177|-87.79518|8|3|1
2899|2007-09-04|2200 West 51st Street, Chicago, IL 60609, USA|CULEX PIPIENS|22| W 51ST ST|T061|2200  W 51ST ST, Chicago, IL|41.801179|-87.679447|8|13|1
2915|2007-09-04|3700 South Pulaski Road, Chicago, IL 60623, USA|CULEX PIPIENS/RESTUANS|37| S PULASKI RD|T063|3700  S PULASKI RD, Chicago, IL|41.82561|-87.726549|9|2|1
2920|2007-09-05|2200 West 113th Street, Chicago, IL 60643, USA|CULEX PIPIENS|22| W 113TH ST|T086|2200  W 113TH ST, Chicago, IL|41.688324|-87.676709|8|13|1
2921|2007-09-05|1100 South Peoria Street, Chicago, IL 60608, USA|CULEX PIPIENS/RESTUANS|11| S PEORIA ST|T091|1100  S PEORIA ST, Chicago, IL|41.862292|-87.64886|8|7|1
2924|2007-09-05|2200 West 89th Street, Chicago, IL 60643, USA|CULEX PIPIENS/RESTUANS|22| W 89TH ST|T096|2200  W 89TH ST, Chicago, IL|41.731922|-87.677512|8|13|1
2930|2007-09-05|4200 West 127th Street, Alsip, IL 60803, USA|CULEX PIPIENS|42| W 127TH PL|T135|4200  W 127TH PL, Chicago, IL|41.662014|-87.72460799999999|8|38|1
2935|2007-09-05|1000 West 95th Street, Chicago, IL 60643, USA|CULEX PIPIENS|10| W 95TH ST|T085|1000  W 95TH ST, Chicago, IL|41.721474|-87.648064|8|4|1
2944|2007-09-05|3900 South Ashland Avenue, Chicago, IL 60609, USA|CULEX PIPIENS|39| S ASHLAND AVE|T074|3900  S ASHLAND AVE, Chicago, IL|41.822536|-87.66634300000001|9|3|1
2969|2007-09-05|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2979|2007-09-05|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
2984|2007-09-05|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
3005|2007-09-05|South Avenue L, Chicago, IL 60617, USA|CULEX PIPIENS|11| S AVENUE L|T103|1100  S AVENUE L, Chicago, IL|41.702723999999996|-87.536497|5|23|1
3039|2007-09-06|South Stony Island Avenue, Chicago, IL, USA|CULEX PIPIENS|10| S STONY ISLAND AVE|T138|1000  S STONY ISLAND AVE, Chicago, IL|41.726465000000005|-87.585413|5|50|1
3049|2007-09-06|3700 118th Street, Chicago, IL 60617, USA|CULEX PIPIENS/RESTUANS|37| E 118TH ST|T212|3700  E 118TH ST, Chicago, IL|41.680946|-87.535198|8|21|1
3060|2007-09-12|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|6|1
3078|2007-09-12|3600 North Pittsburgh Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|36| N PITTSBURGH AVE|T011|3600  N PITTSBURGH AVE, Chicago, IL|41.944869|-87.832763|8|10|1
3142|2007-09-12|7300 Cicero Avenue, Chicago, IL 60638, USA|CULEX PIPIENS/RESTUANS|73| S CICERO AVE|T067|7300  S CICERO AVE, Chicago, IL|41.759346|-87.745602|9|16|1
3149|2007-09-12|1000 East 67th Street, Chicago, IL 60637, USA|CULEX PIPIENS|10| E 67TH ST|T073|1000  E 67TH ST, Chicago, IL|41.773215|-87.60088|8|1|1
3155|2007-09-12|5200 South Kolmar Avenue, Chicago, IL 60632, USA|CULEX PIPIENS/RESTUANS|52| S KOLMAR|T114|5200  S KOLMAR, Chicago, IL|41.798697|-87.736812|8|9|1
3366|2007-09-19|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|26|1
3551|2007-09-24|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
3552|2007-09-24|South Doty Avenue, Chicago, IL, USA|CULEX PIPIENS|12| S DOTY AVE|T115|1200  S DOTY AVE, Chicago, IL|41.673408|-87.599862|5|50|1
3733|2007-10-04|3500 West 51st Street, Chicago, IL 60632, USA|CULEX PIPIENS|35| W 51ST ST|T062|3500  W 51ST ST, Chicago, IL|41.800737|-87.71188000000001|8|12|1
3783|2007-10-04|6600 South Kilpatrick Avenue, Chicago, IL 60629, USA|CULEX PIPIENS|66| S KILPATRICK AVE|T156|6600  S KILPATRICK AVE, Chicago, IL|41.772846|-87.740029|9|8|1
4890|2009-07-24|4100 North Oak Park Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|41| N OAK PARK AVE|T002|4100  N OAK PARK AVE, Chicago, IL|41.95469|-87.800991|9|50|1
4917|2009-07-24|5000 South Central Avenue, Chicago, IL 60638, USA|CULEX PIPIENS/RESTUANS|50| S CENTRAL AVE|T031|5000  S CENTRAL AVE, Chicago, IL|41.801497999999995|-87.763416|9|38|1
5008|2009-07-27|3300 West 104th Street, Chicago, IL 60655, USA|CULEX PIPIENS/RESTUANS|33| W 104TH ST|T095|3300  W 104TH ST, Chicago, IL|41.704336|-87.70373599999999|8|12|1
5009|2009-07-27|3300 West 104th Street, Chicago, IL 60655, USA|CULEX RESTUANS|33| W 104TH ST|T095|3300  W 104TH ST, Chicago, IL|41.704336|-87.70373599999999|8|8|1
5191|2009-07-31|8200 South Kostner Avenue, Chicago, IL 60652, USA|CULEX PIPIENS/RESTUANS|82| S KOSTNER AVE|T225|8200  S KOSTNER AVE, Chicago, IL|41.743402|-87.731435|8|50|1
5352|2009-08-13|University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA|CULEX PIPIENS/RESTUANS|11| S ASHLAND AVE|T090|1100  S ASHLAND AVE, Chicago, IL|41.868077|-87.666901|9|29|1
5376|2009-08-13|1100 North Artesian Avenue, Chicago, IL 60622, USA|CULEX RESTUANS|11| S ARTESIAN AVE|T160|1100  S ARTESIAN AVE, Chicago, IL|41.903002|-87.68826700000001|8|1|1
5451|2009-08-25|3600 North Pittsburgh Avenue, Chicago, IL 60634, USA|CULEX PIPIENS/RESTUANS|36| N PITTSBURGH AVE|T011|3600  N PITTSBURGH AVE, Chicago, IL|41.944869|-87.832763|8|26|1
5486|2009-08-25|South Cottage Grove Avenue, Chicago, IL, USA|CULEX PIPIENS/RESTUANS|10| S COTTAGE GROVE|T102|1000  S COTTAGE GROVE, Chicago, IL|41.750498|-87.605294|5|1|1
5487|2009-08-25|4000 East 130th Street, Chicago, IL 60633, USA|CULEX PIPIENS/RESTUANS|40| E 130TH ST|T221|4000  E 130TH ST, Chicago, IL|41.659112|-87.53869300000001|8|4|1
5489|2009-08-25|9100 West Higgins Road, Rosemont, IL 60018, USA|CULEX PIPIENS/RESTUANS|91| W HIGGINS RD|T009|9100  W HIGGINS RD, Chicago, IL|41.992478000000006|-87.862995|8|42|1
5497|2009-08-25|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX PIPIENS/RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|50|1
5509|2009-08-25|Ohare Court, Bensenville, IL 60106, USA|CULEX PIPIENS/RESTUANS|10| W OHARE|T903|1000  W OHARE, Chicago, IL|41.957799|-87.930995|5|50|1
5510|2009-08-25|Ohare Court, Bensenville, IL 60106, USA|CULEX RESTUANS|10| W OHARE|T903|1000  W OHARE, Chicago, IL|41.957799|-87.930995|5|14|1
5624|2009-09-03|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|5|1
5661|2009-09-14|3500 West 116th Street, Chicago, IL 60655, USA|CULEX PIPIENS/RESTUANS|35| W 116TH ST|T158|3500  W 116TH ST, Chicago, IL|41.682587|-87.707973|9|9|1
5740|2009-09-14|1300 North Laramie Avenue, Chicago, IL 60651, USA|CULEX PIPIENS/RESTUANS|13| N LARAMIE AVE|T230|1300  N LARAMIE AVE, Chicago, IL|41.904194|-87.756155|9|8|1
5742|2009-09-14|3900 North Springfield Avenue, Chicago, IL 60618, USA|CULEX RESTUANS|39| N SPRINGFIELD AVE|T228|3900  N SPRINGFIELD AVE, Chicago, IL|41.951865999999995|-87.72505699999999|8|2|1
5921|2009-09-25|6100 West Fullerton Avenue, Chicago, IL 60639, USA|CULEX RESTUANS|61| W FULLERTON AVE|T013|6100  W FULLERTON AVE, Chicago, IL|41.923738|-87.785288|9|1|1
6889|2011-07-25|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX PIPIENS/RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|37|1
6898|2011-07-25|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|21|1
6923|2011-07-25|8200 South Kostner Avenue, Chicago, IL 60652, USA|CULEX RESTUANS|82| S KOSTNER AVE|T225|8200  S KOSTNER AVE, Chicago, IL|41.743402|-87.731435|8|16|1
6961|2011-07-29|5000 South Central Avenue, Chicago, IL 60638, USA|CULEX PIPIENS/RESTUANS|50| S CENTRAL AVE|T031|5000  S CENTRAL AVE, Chicago, IL|41.801497999999995|-87.763416|9|50|1
6967|2011-07-29|University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA|CULEX RESTUANS|11| S ASHLAND AVE|T090|1100  S ASHLAND AVE, Chicago, IL|41.868077|-87.666901|9|8|1
7043|2011-07-29|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX PIPIENS/RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|21|1
7045|2011-07-29|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX PIPIENS/RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|21|1
7048|2011-07-29|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|17|1
7055|2011-07-29|Ohare Court, Bensenville, IL 60106, USA|CULEX PIPIENS/RESTUANS|10| W OHARE|T903|1000  W OHARE, Chicago, IL|41.957799|-87.930995|5|18|1
7057|2011-07-29|Ohare Court, Bensenville, IL 60106, USA|CULEX RESTUANS|10| W OHARE|T903|1000  W OHARE, Chicago, IL|41.957799|-87.930995|5|10|1
7062|2011-07-29|5100 North Mont Clare Avenue, Chicago, IL 60656, USA|CULEX PIPIENS/RESTUANS|51| N MONT CLARE AVE|T223|5100  N MONT CLARE AVE, Chicago, IL|41.973845000000004|-87.805059|9|50|1
7123|2011-08-05|7000 North Moselle Avenue, Chicago, IL 60646, USA|CULEX PIPIENS/RESTUANS|70| N MOSELL AVE|T008|7000  N MOSELL AVE, Chicago, IL|42.008314|-87.77792099999999|9|23|1
7187|2011-08-05|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX PIPIENS/RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|11|1
7189|2011-08-05|ORD Terminal 5, O'Hare International Airport, Chicago, IL 60666, USA|CULEX PIPIENS/RESTUANS|10| W OHARE AIRPORT|T900|1000  W OHARE AIRPORT, Chicago, IL|41.974689|-87.890615|9|16|1
7197|2011-08-05|Ohare Court, Bensenville, IL 60106, USA|CULEX PIPIENS/RESTUANS|10| W OHARE|T903|1000  W OHARE, Chicago, IL|41.957799|-87.930995|5|39|1
7198|2011-08-05|Ohare Court, Bensenville, IL 60106, USA|CULEX RESTUANS|10| W OHARE|T903|1000  W OHARE, Chicago, IL|41.957799|-87.930995|5|7|1
